0,1830,1696,1569,1451,1341,1237,1142,1051,968,889,816,748,684,625,570,518,470,426,385,346,311,278,247,219,193,168,146,125,107,89,73,58,44,31,20,10,0,-8,-16,-23,-31,-36,-42,-46,-50,-54,-57,-60,-62,-64,-67,-67,-69,-70,-71,-71,-71,-72,-72,-72,-71,-71,-71,-70,-69,-68,-67,-67,-66,-64,-64,-62,-62,-61,-59,-58,-57,-56,-54,-53,-52,-51,-50,-49,-47,-47,-45,-45,-43,-42,-41,-39,-38,-37,-37,-36
1,1700,1575,1458,1348,1246,1149,1060,977,899,825,758,694,636,581,529,482,437,396,357,322,289,258,230,204,179,157,136,116,98,82,68,53,40,29,19,9,0,-8,-15,-22,-28,-33,-38,-43,-47,-50,-53,-56,-57,-60,-61,-63,-64,-65,-66,-66,-66,-67,-67,-67,-66,-66,-66,-65,-64,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-47,-46,-46,-44,-43,-42,-41,-40,-38,-37,-36,-35,-35,-34,-33
2,2092,1938,1794,1658,1533,1415,1304,1201,1106,1016,932,855,782,714,651,593,537,487,440,396,355,317,283,250,220,192,167,143,122,101,83,66,51,36,22,11,0,-10,-19,-27,-34,-41,-47,-53,-57,-61,-65,-68,-71,-73,-75,-78,-79,-80,-80,-81,-82,-82,-82,-82,-82,-81,-80,-79,-79,-78,-78,-76,-75,-74,-72,-71,-70,-69,-68,-67,-66,-63,-63,-61,-60,-59,-57,-56,-54,-53,-52,-50,-49,-48,-46,-46,-44,-43,-42,-41
3,199,202,205,209,212,215,218,221,223,225,227,228,115,115,115,116,116,115,114,113,111,109,107,103,51,48,45,43,41,37,33,29,24,19,14,7,0,-4,-9,-13,-17,-23,-29,-35,-43,-51,-59,-68,-38,-44,-50,-56,-62,-70,-78,-86,-95,-105,-115,-126,-69,-76,-83,-90,-97,-106,-115,-124,-135,-146,-158,-171,-92,-100,-108,-116,-124,-134,-144,-155,-167,-179,-192,-206,-110,-119,-127,-136,-145,-155,-167,-178,-191,-204,-218,-233
4,22,23,22,23,24,23,24,24,25,25,25,26,26,25,26,25,26,26,25,25,25,25,24,23,22,22,20,19,17,17,15,13,10,8,5,3,0,-3,-7,-11,-16,-21,-26,-32,-38,-45,-52,-60,-70,-79,-89,-100,-111,-124,-138,-152,-169,-186,-204,-224,-245,-268,-292,-319,-346,-376,-409,-444,-480,-520,-562,-607,-656,-708,-763,-822,-885,-953,-1025,-1101,-1184,-1271,-1364,-1464,-1569,-1682,-1803,-1931,-2068,-2214,-2369,-2535,-2711,-2899,-3098,-3311
5,331,337,342,348,353,358,364,367,372,376,379,381,383,385,385,385,384,383,379,376,371,363,356,346,334,321,306,289,269,246,221,194,162,128,89,47,0,-51,-108,-169,-237,-310,-390,-477,-572,-674,-786,-906,-1036,-1178,-1329,-1494,-1672,-1863,-2069,-2292,-2530,-2787,-3063,-3360,-3678,-4020,-4387,-4780,-5201,-5653,-6137,-6656,-7210,-7804,-8439,-9118,-9843,-10620,-11449,-12336,-13281,-14292,-15370,-16522,-17751,-19062,-20459,-21951,-23541,-25236,-27044,-28969,-31022,-33209,-35538,-38019,-40661,-43475,-46470,-49658
